Station,Longitude,Latitude,Contributors,Dino_tot,Aand,Atax,Btep,Bspo,Crug,Iacu,Icas,Ipal,Ipar,Ipat,Isph,Istr,Ipli,Ivel,Ijap,Ivar,Lmac,Mcho,Nlab,Nrig,Oagu,Ocen,Oisr,Ojan,Olon,Ogig,Pzoh,Pret,Smem,Scru,Sdel,Selo,Sram,Sbel,Sben,Sbul,Slaz,Smir,Sgra,Spac,Sspp,Tpel,Pdal,Stri,Imin,Imic,Ibre,Ekar,Bspp,Dubr,Peri,Lspp,Snep,Xxan,Squa,Pnud,Tapp,Tvar,Vcal,Vspi,Pame,Qcon,Psch,Parc,Pkof,Phar,Gymn,Eacu,Egra,Edel,Etra,Ezon,Espp,Sste,Sbif,Cysa,Tvan,Dcha,Bbal,Ppsi,Sant,Ppon,Srob,Pmon,Cmer,Ebis,Oaca,Srei,Tpal,Pgla,Pmin
G071,-60.54,47.15,de vernal et al DB1826,100.00,,,0.33,,,,,,,,,,,,,,,,3.28,,,12.13,,,,,,,,,,1.31,4.26,,,,,,,,8.52,,15.08,0.33,14.10,,,,38.36,,,,,,2.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G072,-60.22,46.72,de vernal et al DB1826,100.00,,0.63,,,,,,,,,,,,,,,,,0.63,,,19.94,,,,,,,,,,0.63,1.90,,,0.95,,,,,4.11,,5.06,,21.52,,,,43.04,,,,,,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G073,-59.08,46.99,de vernal et al DB1826,100.00,,,7.02,,,,,0.28,,,0.28,,,,,,,,6.46,,,30.34,,,,,,,,,,1.97,1.69,,,,,,,,1.97,,19.38,,2.53,,,,27.53,,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A074,-55.62,44.66,de vernal et al DB1826,100.00,,0.30,25.89,,,,,,,,0.30,,,,,,,,2.38,,,43.75,,,,,,,,,,0.60,0.89,,,,,,,,3.87,,9.23,0.60,0.60,,,,11.01,,,,,,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G075,-57.59,45.85,de vernal et al DB1826,100.00,,0.55,10.25,,,,,,,,,,,,,,,,0.55,,,31.58,,,,,,,,,,0.83,0.28,,,,,,,,0.28,,25.21,0.55,0.55,,,,29.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G076,-57.94,46.19,de vernal et al DB1826,100.00,,0.73,12.04,,,,,,,,,,,,,,,,0.73,,,43.80,,,,,,,,,,1.82,0.36,,,,,,,,2.92,,7.30,,1.09,,,,29.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G077,-56.37,47.50,de vernal et al DB1826,100.00,,,3.16,,,,,,,,,,,,,,,,0.79,,,33.14,,,,,,,,,,1.38,1.38,,,,,,,,2.76,,22.68,1.18,1.38,,,,31.56,,,,,,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G078,-57.05,47.07,de vernal et al DB1826,100.00,,0.32,9.00,,,,,,,,,,,,,,,,0.64,,,41.16,,,,,,,,,,0.64,1.29,,,,,,,,3.86,,16.08,0.96,1.61,,,,24.12,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G079,-58.57,45.84,de vernal et al DB1826,100.00,,0.64,0.64,,,,,,,,,,,,,,,,3.85,,,28.21,,,,,,,,,,,,,,,,,,,1.28,,3.85,0.64,1.92,,,,57.05,,,,,,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B080,-64.52,70.52,de vernal et al DB1826,100.00,,,,,,,,1.01,,,,,,,,,,,1.01,,,72.64,,,,,,,,,,24.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B081,-64.27,71.33,de vernal et al DB1826,100.00,,,,,,,,,,,,,,,,,,,0.22,,,78.58,,,,,,,,,,20.88,0.11,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
